Trial_Nr,Trial_Id,answer,cue,reaction_time,target,target_pos_match,XGazeError,End_Time,Exp_Subject_Id,Is_Fullscreen,Start_Time,label,target_pos,target_match,accuracy,error
6,128,L,invalid,700,occhiali,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
15,118,L,invalid,499,banana,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
20,49,A,invalid,342,mucca,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
36,124,L,invalid,546,frullatore,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
38,40,A,invalid,463,banana,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
39,52,A,invalid,551,pistola,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
40,137,L,invalid,503,uva,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
45,41,A,invalid,590,bicchiere,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
63,135,L,invalid,516,telefono,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
69,123,L,invalid,542,coniglio,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
78,131,L,invalid,720,pomodoro,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
88,122,L,invalid,483,chiave,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
100,59,A,invalid,491,uva,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
105,126,L,invalid,486,melone,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
120,125,L,invalid,482,mandorla,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
125,42,A,invalid,638,cane,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
126,136,L,invalid,533,termometro,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,13.194444444444445
137,57,A,invalid,385,telefono,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
140,47,A,invalid,468,mandorla,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,13.194444444444445
8,202,A,invalid,638,frullatore,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
11,200,A,invalid,620,chiave,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
35,208,A,invalid,559,pistola,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
43,209,A,invalid,458,pomodoro,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
49,289,L,invalid,425,tartaruga,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
59,274,L,invalid,470,banana,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
60,212,A,invalid,506,telecomando,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
62,204,A,invalid,612,melone,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
64,210,A,invalid,454,rasoio,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
68,215,A,invalid,370,uva,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
82,277,L,invalid,604,cervo,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
102,207,A,invalid,412,pinza,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
103,214,A,invalid,565,termometro,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
123,213,A,invalid,623,telefono,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
127,285,L,invalid,495,pinza,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
128,279,L,invalid,487,coniglio,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
129,282,L,invalid,505,melone,right_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,mismatch,1,12.5
132,197,A,invalid,508,bicchiere,left_mismatch,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,mismatch,1,12.5
14,79,L,valid,412,banana,right_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,right,match,1,11.11111111111111
16,10,A,valid,492,mucca,left_match,27.16512468,2021-12-20T13:03:17Z,339184,TRUE,2021-12-20T12:46:13Z,word,left,match,1,11.11111111111111
