"ID","School","Grade","Age_months","Gender","listType","time"
"BOFR1A","San Martino",6,143,"M","T.Parole.AFC",8
"BRAN1A","San Martino",6,141,"M","T.Parole.AFC",10
"CAFE1A","San Martino",6,139,"M","T.Parole.AFC",11
"CEDE1A","San Martino",6,145,"F","T.Parole.AFC",8
"CODI1A","San Martino",6,142,"M","T.Parole.AFC",9
"COGI1A","San Martino",6,143,"F","T.Parole.AFC",11
"FANO1A","San Martino",6,138,"F","T.Parole.AFC",9
"FRMA1A_SM","San Martino",6,141,"M","T.Parole.AFC",10
"GACR1A","San Martino",6,147,"M","T.Parole.AFC",12
"JUIV1A","San Martino",6,140,"M","T.Parole.AFC",9
"MIRI1A","San Martino",6,144,"M","T.Parole.AFC",10
"MIGI1A","San Martino",6,144,"F","T.Parole.AFC",8
"MILE1A","San Martino",6,143,"M","T.Parole.AFC",9
"MOSO1A","San Martino",6,144,"F","T.Parole.AFC",11
"PABE1A","San Martino",6,147,"F","T.Parole.AFC",20
"PIAL1A","San Martino",6,143,"M","T.Parole.AFC",9
"SAGL1A","San Martino",6,146,"F","T.Parole.AFC",12
"STCE1A","San Martino",6,143,"M","T.Parole.AFC",10
"TARI1A","San Martino",6,138,"M","T.Parole.AFC",13
"TOSO1A","San Martino",6,140,"F","T.Parole.AFC",19
"VIAG1A","San Martino",6,147,"F","T.Parole.AFC",9
"ANAN1C","San Martino",6,144,"F","T.Parole.AFC",14
"ANFI1C","San Martino",6,138,"M","T.Parole.AFC",8
"BEGI1C","San Martino",6,147,"M","T.Parole.AFC",13
"BREL1C","San Martino",6,140,"F","T.Parole.AFC",11
"CASA1C","San Martino",6,139,"M","T.Parole.AFC",24
"DUMA1C","San Martino",6,145,"M","T.Parole.AFC",11
"ELOM1C","San Martino",6,151,"F","T.Parole.AFC",9
"FEEM1C","San Martino",6,146,"F","T.Parole.AFC",11
"GUCA1C","San Martino",6,145,"F","T.Parole.AFC",8
"LINI1C","San Martino",6,137,"M","T.Parole.AFC",11
"LOSA1C","San Martino",6,147,"F","T.Parole.AFC",9
"MATO1C","San Martino",6,139,"M","T.Parole.AFC",10
"PAGU1C","San Martino",6,142,"M","T.Parole.AFC",15
"PEGI1C","San Martino",6,142,"F","T.Parole.AFC",11
"PELE1C","San Martino",6,143,"M","T.Parole.AFC",14
"POAU1C","San Martino",6,142,"F","T.Parole.AFC",9
"SIGI1C","San Martino",6,141,"F","T.Parole.AFC",9
"SOYA1C","San Martino",6,144,"M","T.Parole.AFC",12
"STSO1C","San Martino",6,146,"F","T.Parole.AFC",9
"BRFR1E","San Martino",6,141,"M","T.Parole.AFC",10
"BRNI1E","San Martino",6,139,"M","T.Parole.AFC",14
"BUBE1E","San Martino",6,146,"F","T.Parole.AFC",10
"CAEM1E","San Martino",6,137,"F","T.Parole.AFC",7
"FRAN1E","San Martino",6,136,"F","T.Parole.AFC",15
"MANI1E","San Martino",6,154,"M","T.Parole.AFC",9
"MODA1E","San Martino",6,143,"M","T.Parole.AFC",9
"OMBA1E","San Martino",6,148,"M","T.Parole.AFC",14
"RUMA1E","San Martino",6,141,"F","T.Parole.AFC",13
"SASA1E","San Martino",6,145,"F","T.Parole.AFC",11
"SCGIA1E","San Martino",6,142,"M","T.Parole.AFC",14
"STFI1E","San Martino",6,146,"M","T.Parole.AFC",11
"TOSO1E","San Martino",6,140,"F","T.Parole.AFC",9
"VIAN1E","San Martino",6,142,"F","T.Parole.AFC",20
"ZOGA1E","San Martino",6,138,"F","T.Parole.AFC",14
"ANGI1F","San Martino",6,137,"F","T.Parole.AFC",11
"BADE1F","San Martino",6,138,"F","T.Parole.AFC",9
"CAED1F","San Martino",6,138,"M","T.Parole.AFC",14
"DEMA1F","San Martino",6,147,"M","T.Parole.AFC",11
"DEPI1F","San Martino",6,147,"M","T.Parole.AFC",9
